Country,Limiting Magnitude,Coordinates,Longitude_x,Latitude_x,Latitude_y,Longitude_y,Park,Date
United States - Arizona,7,"[35.9985, -111.988]",-111.988,35.9985,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.048, -112.094]",-112.094,36.048,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.06, -112.109]",-112.109,36.06,36.107,-112.113,Grand Canyon National Park,2015-06-17
United States - Arizona,7,"[36.0661, -112.117]",-112.117,36.0661,36.107,-112.113,Grand Canyon National Park,2015-06-17
United States - Arizona,7,"[31.8852, -110.94]",-110.94,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-20
United States - Arizona,7,"[31.8853, -110.939]",-110.939,31.8853,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,7,"[31.9894, -111.3]",-111.3,31.9894,32.2967,-111.167,Saguaro National Park,2014-02-24
United States - Arizona,7,"[31.9836, -111.301]",-111.301,31.9836,32.2967,-111.167,Saguaro National Park,2014-02-28
United States - Arizona,7,"[32.2349, -110.958]",-110.958,32.2349,32.2967,-111.167,Saguaro National Park,2016-09-05
United States - Arizona,7,"[32.2282, -110.959]",-110.959,32.2282,32.2967,-111.167,Saguaro National Park,2016-09-06
United States - Arizona,7,"[32.2305, -110.956]",-110.956,32.2305,32.2967,-111.167,Saguaro National Park,2016-09-07
United States - Arizona,7,"[32.2292, -110.806]",-110.806,32.2292,32.2967,-111.167,Saguaro National Park,2016-09-12
United States - Arizona,7,"[31.9608, -111.6]",-111.6,31.9608,32.2967,-111.167,Saguaro National Park,2015-01-19
United States - Arizona,6,"[32.1191, -111.037]",-111.037,32.1191,32.2967,-111.167,Saguaro National Park,2014-02-27
United States - Arizona,6,"[32.1191, -111.037]",-111.037,32.1191,32.2967,-111.167,Saguaro National Park,2014-02-27
United States - Arizona,6,"[32.2215, -110.926]",-110.926,32.2215,32.2967,-111.167,Saguaro National Park,2014-03-25
United States - Arizona,6,"[31.9835, -111.301]",-111.301,31.9835,32.2967,-111.167,Saguaro National Park,2015-11-09
United States - Arizona,6,"[32.2444, -111.195]",-111.195,32.2444,32.2967,-111.167,Saguaro National Park,2015-11-06
United States - Arizona,6,"[32.4522, -111.08]",-111.08,32.4522,32.2967,-111.167,Saguaro National Park,2015-10-09
United States - Arizona,6,"[31.9834, -111.301]",-111.301,31.9834,32.2967,-111.167,Saguaro National Park,2015-06-14
United States - Arizona,6,"[36.0573, -112.141]",-112.141,36.0573,36.107,-112.113,Grand Canyon National Park,2015-06-17
United States - Arizona,6,"[31.8852, -110.939]",-110.939,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-20
United States - Arizona,6,"[31.8853, -110.939]",-110.939,31.8853,32.2967,-111.167,Saguaro National Park,2015-06-20
United States - Arizona,6,"[31.8852, -110.939]",-110.939,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,6,"[31.8852, -110.939]",-110.939,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,6,"[31.8852, -110.94]",-110.94,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,6,"[31.8852, -110.939]",-110.939,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,6,"[31.8852, -110.939]",-110.939,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,6,"[31.8852, -110.939]",-110.939,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,6,"[36.0491, -112.118]",-112.118,36.0491,36.107,-112.113,Grand Canyon National Park,2015-07-07
United States - Arizona,6,"[31.9608, -111.599]",-111.59899999999999,31.9608,32.2967,-111.167,Saguaro National Park,2015-01-19
United States - Arizona,6,"[32.2313, -110.787]",-110.787,32.2313,32.2967,-111.167,Saguaro National Park,2015-02-10
United States - Arizona,6,"[36.0722, -112.166]",-112.166,36.0722,36.107,-112.113,Grand Canyon National Park,2015-06-08
United States - Arizona,6,"[32.1875, -111.075]",-111.075,32.1875,32.2967,-111.167,Saguaro National Park,2016-02-03
United States - Arizona,6,"[31.9836, -111.305]",-111.305,31.9836,32.2967,-111.167,Saguaro National Park,2015-01-16
United States - Arizona,6,"[32.6105, -110.797]",-110.79700000000001,32.6105,32.2967,-111.167,Saguaro National Park,2015-02-09
United States - Arizona,6,"[32.243, -111.227]",-111.227,32.243,32.2967,-111.167,Saguaro National Park,2006-03-22
