latitude,longitude,date_local,aqi,local_site_name,site_address,state,county,city
37.814781,-122.282347,2019-01-15,31.0,Oakland West,1100 21st Street,California,Alameda,Oakland
39.18919,-121.99887,2019-01-15,30.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa
37.743065,-122.169935,2019-01-15,29.0,Oakland,9925 International Blvd,California,Alameda,Oakland
39.138773,-121.618549,2019-01-15,23.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City
39.76168,-121.84047,2019-01-15,31.0,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico
37.743649,-121.934188,2019-01-15,31.0,San Ramon,9885 Alcosta BLVD,California,Contra Costa,San Ramon
38.403765,-122.818294,2019-01-15,32.0,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol
38.278849,-122.275024,2019-01-15,33.0,Napa Valley College,Magnolia Drive and Route 221,California,Napa,Napa
39.01893,-122.91333,2019-01-15,31.0,Lakeport-S. Main Street,"2617 S. Main Street, Lakeport, CA 95453",California,Lake,Lakeport
37.864767,-122.302741,2019-01-15,30.0,Berkeley Aquatic Park,1 Bolivar Dr,California,Alameda,Not in a city
38.115152,-86.60325,2019-01-15,24.0,Leopold- Perry Central HS,19856 OLD ST RD 37/PERRY CENTRAL HS/ LEOPOLD,Indiana,Perry,Not in a city
47.568236,-122.308628,2019-01-15,3.0,SEATTLE - BEACON HILL,4103 BEACON HILL S,Washington,King,Seattle
46.7841,-121.740367,2019-01-15,39.0,MT RAINIER - JACKSON VISITIORS CENTER,"JACKSON VISITOR'S CENTER MT RAINIER, WA",Washington,Pierce,Not in a city
48.29786,-124.62491,2019-01-15,22.0,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,Not in a city
32.00941,-109.38906,2019-01-15,30.0,Chiricahua NM - Entrance Station,CHIRICAHUA NATIONAL MOUMENT,Arizona,Cochise,Not in a city
32.425261,-111.06352,2019-01-15,18.0,TANGERINE,"12101 N CAMINO DE OESTE, TUCSON",Arizona,Pima,Marana
32.04767,-110.774357,2019-01-15,23.0,FAIRGROUNDS,"11330 S HOUGHTON, TUCSON",Arizona,Pima,Tucson
32.29515,-110.9823,2019-01-15,16.0,CHILDREN'S PARK NCore,400 W RIVER ROAD,Arizona,Pima,Tucson
32.174538,-110.737116,2019-01-15,27.0,SAGUARO PARK,"3905 S. OLD SPANISH TRAIL, SAGUARO PARK EAST",Arizona,Pima,Not in a city
32.954361,-111.76225,2019-01-15,16.0,CASA GRANDE AIRPORT,660 W. AERO DR. CASA GRANDE,Arizona,Pinal,Casa Grande
32.508306,-111.308056,2019-01-15,18.0,PINAL AIR PARK,WATER WELL #2 PINAL AIR PARK RD MARANA,Arizona,Pinal,Red Rock
32.38082,-111.12716,2019-01-15,19.0,COACHLINE,9597 N. COACHLINE BLVD,Arizona,Pima,Marana
32.172995,-110.980134,2019-01-15,18.0,ROSE ELEMENTARY,710 W. MICHIGAN ST.,Arizona,Pima,Tucson
37.482934,-122.20337,2019-01-15,35.0,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City
37.226862,-121.979675,2019-01-15,36.0,Los Gatos,306 UNIVERSITY AVE.,California,Santa Clara,Los Gatos
37.079379,-121.600031,2019-01-15,34.0,San Martin,13030 MURPHY AVE.,California,Santa Clara,San Martin
37.348497,-121.894898,2019-01-15,29.0,San Jose - Jackson,158B JACKSON ST,California,Santa Clara,San Jose
43.081667,-107.549444,2019-01-15,35.0,Spring Creek,Spring Creek Encana,Wyoming,Fremont,Not in a city
42.82231,-106.36501,2019-01-15,41.0,Casper Gaseous,"2800 Pheasant Drive, Casper",Wyoming,Natrona,Casper
42.8608,-106.23586,2019-01-15,27.0,,"Sinclair, Casper",Wyoming,Natrona,Brookhurst
43.101281,-105.498931,2019-01-15,39.0,Converse County Long-Term,"Converse County Long-Term 16 Miles West of Wyoming Highway 59 on Highland Loop Road, North side of road",Wyoming,Converse,Not in a city
31.87952,-110.99644,2019-01-15,25.0,GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,601 NORTH LA CANADA DRIVE,Arizona,Pima,Green Valley
38.895572,-76.958072,2019-01-15,10.0,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington
38.921847,-77.013178,2019-01-15,31.0,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington
39.5513,-75.732,2019-01-15,29.0,Lums Pond,LUMS POND STATE PARK,Delaware,New Castle,Not in a city
39.310833,-76.474444,2019-01-15,30.0,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex
39.92002,-77.30968,2019-01-15,33.0,NARSTO SITE ARENDTSVILLE,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,Not in a city
40.811389,-77.877028,2019-01-15,33.0,LAT/LON=POINT SW CORNER OF TRAILER,PENN STATE UNIVERSITY - ARBORETUM SITE,Pennsylvania,Centre,State College
41.1175,-78.526194,2019-01-15,33.0,MOSHANNON STATE FOREST,LOCATED NEAR S.B. ELLIOTT STATE PARK,Pennsylvania,Clearfield,Not in a city
40.246992,-76.846988,2019-01-15,28.0,A420430401LAT/LON POINT IS AT CORNER OF TRAILER,"651 Gibson Blvd., Harrisburg, PA 17104",Pennsylvania,Dauphin,Not in a city
40.272222,-76.681389,2019-01-15,29.0,A420431100LAT/LON POINT IS AT CORNER OF TRAILER,SIPE AVE & MAE STREET,Pennsylvania,Dauphin,Hershey
40.535278,-78.370833,2019-01-15,29.0,,2ND AVE & 7TH ST,Pennsylvania,Blair,Altoona
37.55652,-77.40027,2019-01-15,19.0,MathScience Innovation Center,2401 HARTMAN STREET  MATH & SCIENCE CTR,Virginia,Henrico,East Highland Park
41.265556,-75.846389,2019-01-15,24.0,A420791101LAT/LON POINT IS AT CORNER OF TRAILER,CHILWICK & WASHINGTON STS,Pennsylvania,Luzerne,Wilkes-Barre
40.046667,-76.283333,2019-01-15,28.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster
39.965278,-76.699444,2019-01-15,26.0,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York
38.5231,-78.43471,2019-01-15,37.0,Shenandoah NP - Big Meadows,SHENANDOAH NP BIG MEADOWS,Virginia,Madison,Not in a city
39.834461,-75.768242,2019-01-15,24.0,CHESTER COUNTY TRANSPORT SITE INTO PHILADELPHIA,NEW GARDEN AIRPORT - TOUGHKENAMON,Pennsylvania,Chester,Not in a city
40.51408,-75.789721,2019-01-15,24.0,Kutztown,Kutztown University Campus,Pennsylvania,Berks,Not in a city
40.043833,-76.1124,2019-01-15,23.0,Lancaster DW,3545 W. Newport Road,Pennsylvania,Lancaster,Not in a city
39.86097,-76.462055,2019-01-15,27.0,York DW,2650 Delta Road,Pennsylvania,York,Not in a city
41.2508,-76.9238,2019-01-15,28.0,MONTOURSVILLE,899 CHERRY STREET,Pennsylvania,Lycoming,Montoursville
40.38335,-75.9686,2019-01-15,26.0,Reading Airport,1059 Arnold Road,Pennsylvania,Berks,Not in a city
39.055277,-76.878333,2019-01-15,31.0,HU-Beltsville,"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",Maryland,Prince George's,Beltsville
38.970092,-77.016715,2019-01-15,29.0,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington
39.9231,-77.3078,2019-01-15,33.0,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,Not in a city
40.7208,-77.9319,2019-01-15,32.0,Penn State,"1366 Tadpole Rd, Pennsylvania Furnace, PA 16865",Pennsylvania,Centre,Not in a city
39.0284,-76.8171,2019-01-15,31.0,Beltsville,"Powder Mill Rd, Laurel, MD 20708",Maryland,Prince George's,Not in a city
38.444971,-76.111274,2019-01-15,26.0,Blackwater NWR,"Blackwater National Wildlife Refuge, Cambridge, MD 21613",Maryland,Dorchester,Not in a city
37.1655,-78.3069,2019-01-15,24.0,Prince Edward,"Prince Edward-Gallion State Forest, Burkeville, VA 23922",Virginia,Prince Edward,Not in a city
38.587525,-76.141006,2019-01-15,27.0,Horn Point,University of Maryland for Environmental and Estuarine Studies,Maryland,Dorchester,Not in a city
40.337328,-76.383447,2019-01-15,29.0,Lebanon,125 Birch Road,Pennsylvania,Lebanon,Not in a city
39.961111,-77.475556,2019-01-15,30.0,HIGH ELEVATION OZONE SITE,FOREST ROAD - METHODIST HILL,Pennsylvania,Franklin,Not in a city
47.5812,-103.2995,2019-01-15,23.0,TRNP-NU,"229 SERVICE RD., WATFORD CITY",North Dakota,McKenzie,Not in a city
47.298611,-101.766944,2019-01-15,28.0,BEULAH NORTH,6024 HIGHWAY 200,North Dakota,Mercer,Not in a city
47.185833,-101.428056,2019-01-15,28.0,HANNOVER,1575 HIGHWAY 31,North Dakota,Oliver,Not in a city
45.366151,-106.48982,2019-01-15,27.0,Birney - Tongue river,"SR 566, 3 Miles N of Birney",Montana,Rosebud,Not in a city
45.440295,-105.370283,2019-01-15,28.0,BROADUS,Big Powder River Road East,Montana,Powder River,Not in a city
47.940861,-101.571583,2019-01-15,29.0,Ryder,184th Street SW Ryder,North Dakota,Ward,Not in a city
48.15278,-103.63951,2019-01-15,22.0,Williston,10th Street West,North Dakota,Williams,Williston
47.342423,-102.645864,2019-01-15,24.0,Lake Ilo,5th Street South West Dunn Center,North Dakota,Dunn,Dunn Center
47.8679,-104.676944,2019-01-15,26.0,Sidney 201,Corner of CR 326 and State Highway 201,Montana,Richland,Not in a city
18.440774,-66.126531,2019-01-15,31.0,,PR 165,Puerto Rico,Catano,Catano
46.81826,-92.08936,2019-01-15,30.0,U of M - Duluth,1202 EAST UNIVERSITY CIRCLE,Minnesota,Saint Louis,Duluth
48.41252,-92.829225,2019-01-15,34.0,Voyageurs NP - Sullivan Bay,VOYAGEURS NATIONAL PARK,Minnesota,Saint Louis,Not in a city
47.048537,-109.455315,2019-01-15,28.0,Lewistown,303 East Aztec Drive Lewistown MT 59457,Montana,Fergus,Not in a city
